country_code,rome-1960,tokyo-1964,mexico-city-1968,munich-1972,montreal-1976,moscow-1980,los-angeles-1984,seoul-1988,barcelona-1992,atlanta-1996,sydney-2000,athens-2004,beijing-2008,london-2012,rio-2016,tokyo-2020,paris-2024
MX,69,94,275,174,97,45,99,83,102,98,78,109,83,102,125,162,98
MY,9,61,31,45,23,0,21,9,26,35,40,26,32,30,32,30,25
MZ,0,0,0,0,0,14,9,8,6,3,5,4,4,6,6,10,5
NA,0,0,0,0,0,0,0,0,6,8,11,8,10,9,10,11,4
NE,0,1,2,4,0,0,4,6,3,3,4,4,4,6,6,7,3
NG,12,18,36,25,0,44,32,69,55,65,83,70,74,55,75,60,76
NI,0,0,11,8,15,5,5,0,8,26,6,5,6,6,5,8,4
NL,110,125,107,119,108,75,136,147,201,239,231,210,237,175,242,278,245
NO,40,26,46,112,66,0,103,69,83,97,93,52,84,64,62,75,97
NP,0,6,0,2,1,10,10,16,2,6,5,6,8,5,7,5,5
NR,0,0,0,0,0,0,0,0,0,3,2,3,1,2,2,2,0
NZ,37,64,52,89,80,4,130,83,134,95,147,148,178,184,199,211,193
OM,0,0,0,0,0,0,16,8,5,4,6,2,4,4,4,5,1
PA,6,10,16,7,8,0,8,6,5,7,6,4,5,7,10,10,5
PE,31,31,28,20,13,28,35,21,16,29,21,12,13,16,29,35,23
PG,0,0,0,0,6,0,7,11,13,11,5,4,7,8,8,8,3
PH,40,47,49,53,14,0,19,31,26,12,20,16,15,11,13,19,20
PK,44,41,15,25,24,0,31,30,27,24,27,26,21,21,7,10,4
PL,185,140,177,290,207,306,0,143,201,165,187,194,257,218,243,210,185
PR,27,32,58,53,80,3,51,47,71,69,29,43,22,25,42,37,30
PS,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,5,3
PT,65,20,20,29,19,11,38,65,90,107,61,81,77,77,92,92,59
PW,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,3,0
PY,0,0,1,3,4,0,14,10,27,7,5,22,7,8,11,8,28
QA,0,0,0,0,0,0,24,10,28,12,17,15,20,12,38,16,10
RO,98,138,82,159,157,226,124,68,173,165,145,108,101,103,97,101,105
RS,0,0,0,0,0,0,0,0,0,0,0,85,87,115,104,86,111
RU,0,0,0,0,0,0,0,0,58,390,439,446,467,440,291,0,42
RW,0,0,0,0,0,0,3,6,10,4,5,5,4,7,8,6,6
SA,0,0,0,10,14,0,37,9,9,29,18,16,14,19,12,29,5
SB,0,0,0,0,0,0,3,4,1,4,2,2,3,4,3,3,0
SC,0,0,0,0,0,11,9,0,11,9,9,9,9,6,10,5,0
SD,10,0,5,26,0,0,7,8,6,4,3,4,9,6,6,5,1
SE,134,94,100,131,116,145,174,184,187,177,150,115,123,134,152,134,109
